,long,lat,OBJECTID,Snow,Ice,ID_Map,HH
0,516036.4577000006,6893827.984900002,1,18.0,,,-18.393352508544922
1,516047.2786999987,6893841.1822,2,16.0,,,-19.145727157592773
2,515999.19519999984,6893790.041499998,4,17.0,,,-20.40631675720215
3,515987.86530000024,6893774.2797,5,8.0,,,-20.073759078979492
4,515974.1928000002,6893758.2839,6,15.0,,,-20.25250244140625
5,515964.62999999966,6893743.198899999,7,17.0,,,-20.22405433654785
6,515954.1339999995,6893727.218299999,8,14.0,,,-20.057283401489258
7,515938.08670000016,6893706.7553,9,9.0,,,-19.98708724975586
8,515926.08810000005,6893689.096500002,10,10.0,,,-20.009950637817383
9,515914.182,6893673.889199998,11,15.0,,,-20.094675064086914
10,515900.10420000023,6893655.329500001,12,10.0,,,-20.09612274169922
11,515864.7432000006,6893622.0757,13,10.0,,,-20.02971839904785
12,515853.8301999996,6893605.982,14,14.0,,,-19.08489227294922
13,515838.3578000001,6893584.853700002,15,14.0,,,-19.519678115844727
14,515824.0604999998,6893568.5215,16,10.0,,,-19.39849281311035
15,515808.41110000096,6893551.737300001,17,10.0,,,-19.27809715270996
16,515792.1501999998,6893532.053800002,18,10.0,,,-19.44948959350586
17,515778.21540000016,6893516.057599999,19,10.0,,,-19.210281372070312
18,515763.34780000034,6893499.054499999,20,6.0,,,-18.5429630279541
19,515747.9577000004,6893482.383299999,21,6.0,,,-18.458751678466797
20,515735.67970000044,6893468.4003,22,11.0,,,-18.359050750732422
21,515720.6053999995,6893450.950800002,23,9.0,,,-18.367618560791016
22,515707.29290000047,6893435.403499997,24,6.0,,,-18.583826065063477
23,515693.61820000067,6893419.297499999,25,4.0,,,-18.37779998779297
24,515676.5097999998,6893402.395699999,26,6.0,,,-19.040653228759766
25,515661.23319999984,6893383.497299998,27,10.0,,,-18.782320022583008
26,515645.3852000005,6893364.2621,28,4.0,,,-18.85425567626953
27,515621.41380000045,6893344.655099999,29,11.0,,,-18.920808792114258
28,515613.0610999999,6893326.3459,30,9.0,,,-18.813220977783203
29,515612.7944999997,6893327.681600001,31,7.0,,,-18.813220977783203
30,515612.7944999997,6893327.681600001,32,17.0,,,-18.813220977783203
31,515567.88389999943,6893274.4452,33,6.0,75,,-18.20464515686035
32,515550.5832000002,6893253.755399999,34,13.0,69,,-18.08588218688965
33,515531.5986000004,6893236.7343999995,35,10.0,73,,-18.399173736572266
34,515511.2699999994,6893217.4791,36,6.0,80,,-18.834653854370117
35,515495.87929999985,6893200.3634,37,6.0,81,,-18.756153106689453
36,515482.53519999975,6893179.914999999,38,6.0,78,,-18.24532127380371
37,515466.89910000033,6893159.456199999,39,8.0,73,,-17.50950813293457
38,514755.8978000001,6892117.865800001,49,3.0,,,-16.479957580566406
39,514763.75770000013,6892131.491599999,50,7.0,,,-17.41533660888672
40,514773.2511999995,6892140.891199999,51,4.0,,,-17.487632751464844
41,514781.02379999985,6892150.617400001,52,3.0,,,-17.415843963623047
42,514789.8383999995,6892160.348200002,53,4.0,,,-17.166996002197266
43,514798.0735,6892171.524799999,54,5.0,,,-16.866361618041992
44,514807.35639999964,6892181.369199999,55,2.0,,,-15.800219535827637
45,514815.3206000003,6892194.884100001,56,29.0,,,-16.565858840942383
46,514823.7147000003,6892205.392999998,57,3.0,,,-16.71400260925293
47,514831.16710000014,6892216.789099999,58,4.0,,,-17.298503875732422
48,514839.2004000006,6892226.405200002,59,5.0,,,-17.56139373779297
49,514847.4326999996,6892238.138900001,60,2.0,,,-17.604761123657227
50,514855.51110000006,6892249.315000002,61,5.0,,,-17.67743682861328
51,514863.2262000001,6892260.155200001,62,6.0,,,-17.856456756591797
52,514870.9884999998,6892272.1098,63,8.0,,,-17.902111053466797
53,514878.0758999994,6892283.504299997,64,7.0,,,-17.59600257873535
54,514885.5893999998,6892292.784000002,65,7.0,,,-17.675090789794922
55,514893.4012000005,6892305.295899998,66,5.0,,,-17.970947265625
56,514900.8074000006,6892315.243599999,67,3.0,,,-18.041427612304688
57,514911.6314000002,6892329.885400001,68,11.0,,,-18.02030372619629
58,514920.7374999997,6892344.1855,69,4.0,,,-18.204448699951172
59,514931.2520999998,6892358.046200001,70,28.0,,,-18.305335998535156
60,514942.42369999987,6892376.477499999,71,4.0,,,-18.003568649291992
61,514952.0968000003,6892392.116999999,72,7.0,,,-17.94480323791504
62,514957.9552999989,6892410.302000001,73,5.0,,,-17.978116989135742
63,514967.88910000044,6892425.8314000005,74,6.0,,,-18.355504989624023
64,514979.00770000013,6892444.373900001,75,5.0,,,-18.338884353637695
65,514999.8017000004,6892477.887800001,77,8.0,,,-18.22571563720703
66,515009.11050000024,6892493.303100001,78,11.0,,,-18.080041885375977
67,515018.4162000005,6892509.386799999,79,8.0,,,-17.748645782470703
68,515028.7637,6892525.475200001,80,2.0,,,-17.797740936279297
69,515036.8815,6892539.2140999995,81,6.0,,,-18.19614601135254
70,515046.25200000027,6892552.4017,82,2.0,,,-17.941198348999023
71,515054.8851,6892567.368500002,83,8.0,,,-18.49800682067871
72,515073.42080000066,6892592.962999999,84,7.0,86,,-18.345970153808594
73,515087.03570000065,6892612.1855,85,8.0,83,,-18.230812072753906
74,515104.7920000004,6892637.2195999995,86,5.0,86,,-18.385074615478516
75,515119.33469999937,6892658.563099999,87,4.0,87,,-18.724285125732422
76,515137.1580999999,6892680.144200001,88,4.0,87,,-18.499969482421875
77,515156.39670000016,6892699.726399999,89,5.0,87,,-18.871353149414062
78,515174.12100000016,6892720.081799999,90,5.0,85,,-18.785388946533203
79,515191.5080000002,6892734.308499998,91,5.0,76,,-18.836097717285156
80,515215.21349999955,6892733.524,92,5.0,74,,-18.27442169189453
81,515223.03369999945,6892766.758000001,93,10.0,85,,-18.0998477935791
82,515240.41220000025,6892782.767400001,94,7.0,79,,-18.26616668701172
