,long,lat,OBJECTID,Snow_thick,Ice_thick,VV
0,512746.00339999975,6897234.308699999,1.0,10.0,131.0,-18.845333099365234
1,512268.9423000004,6896338.065200001,2.0,8.0,136.0,-17.791099548339844
2,512841.70119999984,6895601.693700001,3.0,5.0,131.0,-18.14640235900879
3,513756.87009999965,6894679.971999999,4.0,7.0,141.0,-17.07923126220703
4,514776.0525,6895900.385000002,5.0,12.0,135.0,-16.53995704650879
5,515286.5153999999,6894816.568500001,6.0,20.0,116.0,-19.41954231262207
6,516556.4506999997,6892709.757500001,7.0,9.0,122.0,-18.352739334106445
7,517584.52759999956,6891085.094700001,8.0,14.0,115.0,-19.445343017578125
8,518242.72709999967,6890525.765500002,9.0,25.0,111.0,-20.28546142578125
9,519394.4763000004,6889226.619499999,10.0,17.0,126.0,-18.948612213134766
10,511556.49079999985,6897421.97,11.0,4.0,130.0,-17.776853561401367
11,510307.2769999998,6896714.171200001,12.0,9.0,140.0,-17.25337791442871
12,510905.56399999995,6895639.436900001,13.0,1.0,142.0,-17.768138885498047
13,511985.9735000001,6894755.653000002,14.0,4.0,140.0,-17.736499786376953
14,513549.56879999954,6893886.819899999,15.0,5.0,142.0,-16.223901748657227
15,514619.5829000001,6893300.2828,16.0,6.0,142.0,-17.127304077148438
16,513856.41599999997,6891355.4991,17.0,11.0,115.0,-17.550376892089844
17,513308.01639999985,6890511.631999999,18.0,2.0,137.0,-17.762235641479492
18,515407.3453000001,6891851.287300003,19.0,3.0,137.0,-16.36505889892578
19,516632.86470000003,6891092.862399999,20.0,2.0,136.0,-17.34710693359375
20,516676.53289999993,6890291.8521,21.0,1.0,140.0,-17.406469345092773
21,516748.4797000007,6890290.425500002,22.0,5.0,140.0,-17.390779495239258
22,517512.04770000075,6890086.526700001,23.0,6.0,141.0,-17.11676025390625
23,517623.11060000054,6889133.252999999,24.0,6.0,143.0,-16.786697387695312
24,518507.5504000002,6888427.883499999,25.0,7.0,142.0,-16.3618106842041
25,514906.67640000023,6892401.942600001,57.0,15.0,,-17.855260848999023
26,515789.8425000002,6893546.6371,63.0,32.0,,-19.24756622314453
# Image: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/TerraSAR-X/DeceptionBay_orbit13_IncAngle38_HHVV/08K0001_20180510T223209_TDX_db.tif
# Shp: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1805_D_thicknesses_notransect_WGS84.shp
0,515186.56080000004,6892861.2881000005,36.0,19.0,138.0,-18.692747116088867
1,515175.4557999996,6892840.293999999,37.0,4.0,143.0,-18.89667320251465
2,515161.47670000064,6892821.292300001,38.0,7.0,139.0,-18.174732208251953
3,515117.94199999975,6892760.158399998,39.0,9.0,142.0,-17.81346893310547
4,515069.0096000006,6892694.210499998,40.0,31.0,120.0,-18.50868034362793
5,515034.2742999996,6892609.9448,41.0,13.0,122.0,-17.834819793701172
6,514992.48069999996,6892530.995499998,42.0,2.0,140.0,-17.902978897094727
7,514693.0288000003,6892017.995599999,43.0,0.0,140.0,-17.545650482177734
8,515413.3185000001,6893144.616900001,48.0,12.0,142.0,-17.960725784301758
9,515445.60429999966,6893180.414200001,49.0,3.0,138.0,-17.840028762817383
10,515484.4793999994,6893221.5895,50.0,8.0,134.0,-18.62806510925293
11,515517.4801000011,6893260.175900003,51.0,18.0,126.0,-18.995208740234375
12,515553.8240000002,6893296.4386,52.0,17.0,138.0,-19.192209243774414
13,515591.8457000006,6893341.399,53.0,20.0,133.0,-18.680648803710938
14,515632.4060000009,6893389.045299999,54.0,21.0,119.0,-18.785242080688477
15,515676.12100000016,6893430.022500001,55.0,20.0,119.0,-19.548717498779297
16,514951.4402000001,6892469.763500002,56.0,3.0,,-17.838668823242188
17,514869.56950000033,6892334.044700001,58.0,1.0,,-17.539295196533203
18,514829.7877999998,6892258.0029,59.0,0.0,,-17.27924346923828
19,514790.50470000046,6892186.642700002,60.0,5.0,,-17.134252548217773
20,514746.6043999995,6892110.361099999,61.0,0.0,,-17.704954147338867
21,515735.3315000002,6893487.2262,62.0,15.0,,-19.262948989868164
22,515838.53660000017,6893602.233800001,64.0,17.0,,-19.540359497070312
23,515891.4600999998,6893666.206599998,65.0,27.0,,-18.986156463623047
24,515954.12179999996,6893740.809700002,66.0,23.0,,-19.958276748657227
25,516021.2448000003,6893818.4432,67.0,25.0,,-19.459819793701172
# Image: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/TerraSAR-X/DeceptionBay_orbit13_IncAngle38_HHVV/08K0001_20180510T223209_TDX_db.tif
# Shp: /Volumes/Crabe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1805_D_thicknesses_transect_noship_WGS84.shp
